surname,name,middlename,rb_num,birthday,group_nm,year
Ефремов,Руслан,Михайлович,,,,
Жданов,Марк,Николаевич,,,,
Жукова,Дарья,Егоровна,,,,
Жукова,Екатерина,Юрьевна,,,,
Журавлев,Артём,Ярославович,,,,
Журавлев,Матвей,Михайлович,,,,
Зайцев,Даниил,Михайлович,,,,
Зайцева,Ярослава,Андреевна,,,,
Захаров,Владислав,Максимович,,,,
Захаров,Егор,Елисеевич,,,,
Захарова,Варвара,Ильинична,,,,
Захарова,Варвара,Адамовна,,,,
Золотарев,Матвей,Лукич,,,,
Зотов,Степан,Николаевич,,,,
Зотов,Фёдор,Даниилович,,,,
Зотова,Варвара,Артёмовна,,,,
Иванов,Константин,Матвеевич,,,,
Иванов,Егор,Артёмович,,,,
Иванов,Даниил,Владиславович,,,,
Иванов,Ярослав,Демидович,,,,
Иванов,Алексей,Вадимович,,,,
Иванов,Дмитрий,Демьянович,,,,
Игнатов,Семён,Романович,,,,
Игнатьев,Тимур,Владимирович,,,,
Игнатьев,Михаил,Тимофеевич,,,,
Ильин,Мирон,Максимович,,,,
Ильин,Артём,Владиславович,,,,
Ильинская,Ксения,Романовна,,,,
Исаев,Алексей,Матвеевич,,,,
Исаков,Матвей,Михайлович,,,,
Казакова,Анна,Артёмовна,,,,
Калмыкова,Арина,Викторовна,,,,
Касаткина,Майя,Глебовна,,,,
Киселев,Максим,Артёмович,,,,
Киселев,Глеб,Андреевич,,,,
Киселева,Арина,Фёдоровна,,,,
Климов,Михаил,Глебович,,,,
Климова,Ульяна,Игоревна,,,,
Клюева,Екатерина,Глебовна,,,,
Ковалев,Иван,Адамович,,,,
Ковалев,Тихон,Даниилович,,,,
Ковалев,Тимофей,Андреевич,,,,
Ковалева,Варвара,Мироновна,,,,
Козин,Матвей,Артемьевич,,,,
Козлова,Анна,Филиповна,,,,
Колесникова,Елизавета,Демидовна,,,,
Колесникова,Анна,Глебовна,,,,
Колесов,Матвей,Захарович,,,,
Комарова,Анна,Леоновна,,,,
Королев,Константин,Максимович,,,,
Коротков,Матвей,Артёмович,,,,
Коршунов,Александр,Юрьевич,,,,
Костина,Виктория,Сергеевна,,,,
Котов,Михаил,Дмитриевич,,,,
Кочетков,Андрей,Семёнович,,,,
Кочеткова,Таисия,Николаевна,,,,
Крылов,Владимир,Алексеевич,,,,
Крылов,Максим,Мирославович,,,,
Крылов,Георгий,Георгиевич,,,,
Крылов,Мирослав,Сергеевич,,,,
Крылова,Евгения,Егоровна,,,,
Кузнецов,Артём,Владимирович,,,,
Кузнецов,Михаил,Артёмович,,,,
Кузнецов,Илья,Фёдорович,,,,
Кузнецов,Игорь,Матвеевич,,,,
Кузнецов,Илья,Ильич,,,,
Кузнецова,Злата,Артемьевна,,,,
Кузнецова,Екатерина,Никитична,,,,
Кузнецова,Дарья,Тимуровна,,,,
Куликов,Михаил,Евгеньевич,,,,
Куликова,София,Ильинична,,,,
Лапин,Егор,Дмитриевич,,,,
Ларина,Екатерина,Никитична,,,,
Ларина,Ульяна,Руслановна,,,,
Левина,Милана,Робертовна,,,,
Леонов,Илья,Маркович,,,,
Лукьянов,Даниил,Егорович,,,,
Макаров,Олег,Даниилович,,,,
Макеев,Иван,Ярославович,,,,
Макеева,Кристина,Артёмовна,,,,
Малышев,Алексей,Львович,,,,
Мальцев,Лев,Андреевич,,,,
Мартынова,Дарья,Георгиевна,,,,
Масленников,Даниил,Максимович,,,,
Маслов,Андрей,Андреевич,,,,
Матвеев,Алексей,Алексеевич,,,,
Медведева,Маргарита,Никитична,,,,
Мельников,Мирон,Кириллович,,,,
Митрофанов,Фёдор,Александрович,,,,
Митрофанов,Артём,Евгеньевич,,,,
Михайлов,Марк,Дмитриевич,,,,
Михайлова,Ева,Макаровна,,,,
Михайлова,Алиса,Дмитриевна,,,,
Михеев,Степан,Леонович,,,,
Михеев,Иван,Александрович,,,,
Морозова,Василиса,Владимировна,,,,
Мухина,Анастасия,Дмитриевна,,,,
Назаров,Степан,Романович,,,,
Назаров,Платон,Львович,,,,
Наумов,Лев,Григорьевич,,,,
Наумова,Алиса,Тимофеевна,,,,
Некрасова,Анна,Александровна,,,,
Нестерова,Александра,Семёновна,,,,
Нефедов,Борис,Сергеевич,,,,
Никитин,Роман,Павлович,,,,
Николаева,Виктория,Артёмовна,,,,
Новиков,Григорий,Гордеевич,,,,
Новиков,Виктор,Львович,,,,
Новиков,Роман,Ильич,,,,
Новикова,Алина,Вячеславовна,,,,
Новикова,Мария,Кирилловна,,,,
Орехов,Артём,Александрович,,,,
Орлов,Даниил,Михайлович,,,,
Орлов,Арсений,Михайлович,,,,
Осипов,Егор,Даниилович,,,,
Осипова,Диана,Николаевна,,,,
Павлов,Матвей,Львович,,,,
Панин,Святослав,Александрович,,,,
Панин,Александр,Александрович,,,,
Панов,Олег,Александрович,,,,
Пантелеев,Артём,Иванович,,,,
Пахомов,Алексей,Дмитриевич,,,,
Пахомов,Марк,Георгиевич,,,,
Петров,Александр,Романович,,,,
Петров,Михаил,Владимирович,,,,
Петрова,Дарья,Юрьевна,,,,
Петухова,Арина,Андреевна,,,,
Пономарев,Николай,Владиславович,,,,
Попов,Артём,Даниилович,,,,
Попова,Ева,Данииловна,,,,
Прокофьева,София,Матвеевна,,,,
Прокофьева,Арина,Владиславовна,,,,
Прохорова,Мария,Владимировна,,,,
Родина,Полина,Фёдоровна,,,,
Рожков,Егор,Михайлович,,,,
Романов,Иван,Демьянович,,,,
Романова,Ульяна,Саввична,,,,
Рудаков,Александр,Святославович,,,,
Рыжов,Валерий,Львович,,,,
Рябов,Фёдор,Петрович,,,,
Савин,Артём,Даниилович,,,,
Савина,Василиса,Васильевна,,,,
Сальников,Николай,Степанович,,,,
Сахарова,Вероника,Максимовна,,,,
Свиридов,Лев,Никитич,,,,
Свиридов,Матвей,Даниилович,,,,
Селезнева,Майя,Егоровна,,,,
Селиванов,Ян,Никитич,,,,
Семенов,Максим,Матвеевич,,,,
Семенов,Александр,Леонидович,,,,
Сергеев,Марк,Григорьевич,,,,
Серов,Игорь,Александрович,,,,
Сидоров,Кирилл,Павлович,,,,
Сидорова,Татьяна,Максимовна,,,,
Симонова,Анастасия,Артемьевна,,,,
Синицына,Полина,Тимофеевна,,,,
Скворцова,Полина,Глебовна,,,,
Скворцова,Валерия,Максимовна,,,,
Смирнов,Марк,Ильич,,,,
Смирнов,Юрий,Александрович,,,,
Смирнов,Ян,Сергеевич,,,,
Смирнов,Максим,Маркович,,,,
Смирнов,Владимир,Михайлович,,,,
Смирнов,Иван,Максимович,,,,
Смирнов,Константин,Макарович,,,,
Смирнов,Роман,Фёдорович,,,,
Соколов,Даниил,Богданович,,,,
Соколов,Егор,Максимович,,,,
Соловьев,Платон,Тимурович,,,,
Соловьев,Кирилл,Маркович,,,,
Соловьев,Александр,Тимофеевич,,,,
Сомова,Василиса,Александровна,,,,
Сорокин,Лев,Леонидович,,,,
Сорокина,Вероника,Михайловна,,,,
Сотников,Иван,Павлович,,,,
Спиридонов,Евгений,Семёнович,,,,
Спиридонова,София,Григорьевна,,,,
Степанова,Дарья,Николаевна,,,,
Степанова,Милана,Михайловна,,,,
Столяров,Максим,Никитич,,,,
Суханов,Александр,Матвеевич,,,,
Сычев,Алексей,Фёдорович,,,,
Тарасова,Варвара,Александровна,,,,
Тимофеев,Максим,Александрович,,,,
Титова,София,Георгиевна,,,,
Тихомирова,Ярослава,Николаевна,,,,
Трошина,Виктория,Николаевна,,,,
Устинов,Алексей,Иванович,,,,
Уткин,Никита,Александрович,,,,
Фадеев,Мирон,Максимович,,,,
Федосов,Кирилл,Александрович,,,,
Федотов,Руслан,Глебович,,,,
Филимонова,Елена,Глебовна,,,,
Филиппов,Семён,Ярославович,,,,
Фирсова,Полина,Георгиевна,,,,
Фомин,Тимофей,Артемьевич,,,,
Фомин,Артемий,Ярославович,,,,
Фомин,Иван,Семёнович,,,,
Фролов,Артём,Даниилович,,,,
Фролова,Варвара,Марковна,,,,
Харитонов,Максим,Артёмович,,,,
Харитонова,Елизавета,Савельевна,,,,
Хомякова,Елизавета,Романовна,,,,
Хохлова,София,Максимовна,,,,
Худяков,Дмитрий,Львович,,,,
Чернова,Мария,Марковна,,,,
Черный,Тимур,Артёмович,,,,
Чернышев,Матвей,Борисович,,,,
Чижов,Ярослав,Георгиевич,,,,
Шарова,Виктория,Романовна,,,,
Шевцов,Константин,Сергеевич,,,,
Шувалов,Роман,Львович,,,,
Яковлева,Антонина,Тимофеевна,,,,
Яковлева,Анастасия,Кирилловна,,,,
